gene_name	strand	start	end	chr
BTNL2	-	32361739	32374905	chr6
HLA-DRA	+	32407618	32412823	chr6
HLA-DRB9	-	32427597	32441277	chr6
HLA-DRB5	-	32485119	32498064	chr6
RNU1-61P	-	32517716	32517867	chr6
HLA-DRB6	-	32520489	32527799	chr6
HLA-DRB1	-	32546545	32557625	chr6
HLA-DQA1	+	32595955	32614839	chr6
HLA-DQB1	-	32627243	32636160	chr6
HLA-DQB1-AS1	+	32627656	32628506	chr6
XXbac-BPG254F23.6	-	32627662	32630227	chr6
MTCO3P1	-	32673900	32674732	chr6
XXbac-BPG254F23.7	+	32685781	32686612	chr6
HLA-DQB3	-	32698534	32699472	chr6
HLA-DQA2	+	32709118	32714992	chr6
MIR3135B	-	32717688	32717756	chr6
HLA-DQB2	-	32723874	32731311	chr6
HLA-DOB	-	32780539	32784825	chr6
TAP2	-	32781543	32806599	chr6
TAP2	-	32789609	32806557	chr6
PSMB8	-	32808493	32812480	chr6
TAPSAR1	+	32811862	32814272	chr6
PSMB9	+	32811912	32827362	chr6
TAP1	-	32812985	32821755	chr6
PPP1R2P1	-	32846947	32847625	chr6
HLA-Z	+	32864192	32864267	chr6
HLA-DMB	-	32902405	32908847	chr6
AL645941.1	-	32904692	32904787	chr6
XXbac-BPG181M17.5	-	32905140	32920899	chr6
HLA-DMA	-	32916389	32936871	chr6
BRD2	+	32936436	32949282	chr6
BRD2-IT1	+	32938008	32938663	chr6
XXbac-BPG181M17.6	-	32939841	32940630	chr6
HLA-DOA	-	32971954	32977389	chr6
HLA-DPA1	-	33032345	33048552	chr6
HLA-DPB1	+	33043702	33054978	chr6
RPL32P1	+	33047227	33047637	chr6
HLA-DPA2	-	33059529	33065072	chr6
COL11A2P1	-	33071570	33075107	chr6
HLA-DPB2	+	33080227	33102442	chr6
HLA-DPA3	-	33098992	33111102	chr6
HCG24	+	33112559	33115544	chr6
COL11A2	-	33130457	33160276	chr6
RXRB	-	33161364	33168630	chr6
RNY4P10	+	33167377	33167472	chr6
SLC39A7	+	33168221	33172216	chr6
HSD17B8	+	33172418	33174608	chr6
MIR219-1	+	33175611	33175721	chr6
RING1	+	33176271	33180499	chr6
ZNF70P1	+	33183481	33184105	chr6
HTATSF1P	+	33205575	33207467	chr6
XXbac-BPG157A10.21	-	33213851	33214633	chr6
HCG25	+	33217310	33222766	chr6
VPS52	-	33218048	33239824	chr6
RPS18	+	33239786	33244287	chr6
B3GALT4	+	33244916	33252609	chr6
WDR46	-	33246884	33257304	chr6
PFDN6	+	33257078	33266178	chr6
RGL2	-	33259430	33267101	chr6
TAPBP	-	33267470	33282164	chr6
ZBTB22	-	33282182	33285719	chr6
DAXX	-	33286334	33297046	chr6
MYL8P	+	33306754	33307272	chr6
LYPLA2P1	-	33333324	33334020	chr6
RPL35AP4	-	33357150	33357252	chr6
KIFC1	+	33359312	33377701	chr6
RPL12P1	-	33367835	33368333	chr6
PHF1	+	33378175	33384230	chr6
CUTA	-	33384218	33386094	chr6
SYNGAP1	+	33387846	33421466	chr6
MIR5004	+	33406107	33406214	chr6
ZBTB9	+	33422355	33425325	chr6
RN7SL26P	+	33508470	33508774	chr6
BAK1	-	33540328	33548019	chr6
GGNBP1	+	33551514	33556803	chr6
LINC00336	-	33553882	33561115	chr6
ITPR3	+	33588141	33664351	chr6
UQCC2	-	33662069	33679504	chr6
SBP1	-	33663195	33663474	chr6
MIR3934	+	33665904	33666011	chr6
IP6K3	-	33689443	33714762	chr6
LEMD2	-	33738978	33756913	chr6
MLN	-	33762449	33771788	chr6
LINC01016	-	33835282	33864691	chr6
RP3-468B3.4	+	33850946	33851188	chr6
RP3-468B3.2	+	33861099	33895408	chr6
MIR1275	-	33967748	33967828	chr6
GRM4	-	33989627	34123399	chr6
AL590403.1	-	34036933	34036995	chr6
KRT18P9	+	34157556	34158856	chr6
CYCSP55	+	34187215	34187843	chr6
HMGA1	+	34204649	34214008	chr6
C6orf1	-	34214156	34217247	chr6
RPL35P2	-	34231087	34231450	chr6
RP11-513I15.6	+	34247455	34254545	chr6
NUDT3	-	34247455	34360451	chr6
RPS10-NUDT3	-	34256546	34393825	chr6
RPS10	-	34385230	34393902	chr6
PACSIN1	+	34433915	34503006	chr6
BX255972.1	-	34438566	34438706	chr6
SPDEF	-	34505578	34524110	chr6
RP3-391O22.3	-	34544034	34544433	chr6
C6orf106	-	34555064	34664636	chr6
RPL7P25	+	34584314	34585035	chr6
snoU13	+	34650574	34650679	chr6
RN7SL200P	-	34653133	34653419	chr6
RP3-391O22.1	+	34654378	34654883	chr6
snoU13	+	34660556	34660660	chr6
RP11-140K17.3	+	34664093	34665247	chr6
RP11-140K17.2	+	34683389	34683717	chr6
RP3-375P9.2	+	34711952	34712450	chr6
SNRPC	+	34725182	34741571	chr6
UHRF1BP1	+	34759856	34850915	chr6
Y_RNA	+	34789221	34789319	chr6
TAF11	-	34845554	34855866	chr6
ANKS1A	+	34857041	35059179	chr6
HSPE1P11	+	34991298	34991608	chr6
TCP11	-	35085847	35116387	chr6
AL138721.1	+	35101230	35101315	chr6
SCUBE3	+	35182189	35220856	chr6
RP3-329A5.8	-	35188146	35192407	chr6
ZNF76	+	35226685	35263762	chr6
RP3-329A5.1	-	35246953	35247596	chr6
DEF6	+	35265594	35289548	chr6
PPARD	+	35310334	35395968	chr6
MKRNP2	+	35410820	35417643	chr6
FANCE	+	35420137	35434880	chr6
RPL10A	+	35436184	35438562	chr6
TEAD3	-	35441373	35464853	chr6
TULP1	-	35465650	35480715	chr6
RP3-340B19.3	+	35512408	35513446	chr6
RP3-340B19.2	+	35523649	35524041	chr6
FKBP5	-	35541361	35696360	chr6
RP3-340B19.5	+	35575404	35575711	chr6
SNORA40	+	35619594	35619722	chr6
MIR5690	-	35632493	35632566	chr6
AL157823.1	-	35668779	35668915	chr6
RP3-510O8.4	-	35701643	35704724	chr6
ARMC12	+	35704808	35716856	chr6
RP3-510O8.3	+	35733684	35734704	chr6
CLPSL2	+	35744370	35747329	chr6
CLPSL1	+	35748793	35761452	chr6
CLPS	-	35762758	35765088	chr6
LHFPL5	+	35773069	35801651	chr6
SRPK1	-	35800742	35889119	chr6
SLC26A8	-	35911290	35992645	chr6
DPRXP2	-	35957291	35958213	chr6
MAPK14	+	35995487	36079013	chr6
RP1-179N16.3	-	36059767	36060423	chr6
MAPK13	+	36095585	36107842	chr6
Z95152.1	-	36108274	36108365	chr6
RP1-179N16.6	-	36114474	36164982	chr6
BRPF3	+	36164520	36200567	chr6
PNPLA1	+	36210979	36276372	chr6
C6orf222	-	36283533	36304662	chr6
ETV7	-	36322418	36356164	chr6
RP1-50J22.4	+	36354607	36359771	chr6
PXT1	-	36358327	36410666	chr6
KCTD20	+	36410543	36458920	chr6
RN7SL502P	-	36418691	36418978	chr6
STK38	-	36461668	36515247	chr6
Z85986.1	-	36478293	36478375	chr6
RN7SL748P	+	36489967	36490275	chr6
SRSF3	+	36562144	36573377	chr6
MIR3925	-	36590212	36590289	chr6
RNU1-88P	-	36607321	36607449	chr6
Y_RNA	+	36640614	36640721	chr6
LAP3P2	+	36641593	36643047	chr6
CDKN1A	+	36644304	36655116	chr6
RAB44	+	36683255	36699870	chr6
RP3-431A14.4	+	36704826	36705763	chr6
CPNE5	-	36708551	36807778	chr6
PPIL1	-	36822602	36842800	chr6
C6orf89	+	36839645	36896740	chr6
RP1-90K10.4	-	36907846	36912451	chr6
PI16	+	36922208	36932613	chr6
MTCH1	-	36935916	36954074	chr6
FGD2	+	36973421	36996846	chr6
COX6A1P2	+	37012606	37013177	chr6
RPL12P2	+	37059087	37059582	chr6
PIM1	+	37137978	37143202	chr6
SNORD112	-	37151372	37151444	chr6
TMEM217	-	37179955	37225931	chr6
snoU13	-	37218979	37219082	chr6
TBC1D22B	+	37225547	37300746	chr6
RNF8	+	37321747	37362514	chr6
RN7SL273P	+	37328960	37329256	chr6
CMTR1	+	37400994	37450603	chr6
CCDC167	-	37450695	37467698	chr6
RP1-153P14.8	+	37475123	37503392	chr6
RP1-153P14.3	-	37511328	37515056	chr6
RP1-153P14.5	+	37512920	37518636	chr6
MIR4462	-	37523140	37523198	chr6
MDGA1	-	37600283	37667082	chr6
RP3-441A12.1	-	37783552	37786994	chr6
ZFAND3	+	37787274	38122400	chr6
RN7SL285P	-	37800697	37800961	chr6
RNU1-87P	+	37883348	37883518	chr6
RP11-420A21.1	-	37970607	37971089	chr6
BTBD9	-	38136226	38607924	chr6
SNORD45	+	38175049	38175121	chr6
AL031905.1	-	38326923	38327005	chr6
BTBD9-AS1	+	38449467	38450307	chr6
Y_RNA	+	38533725	38533831	chr6
RP1-319M7.2	+	38555098	38556305	chr6
GLO1	-	38643700	38670917	chr6
RP3-503A6.2	-	38681826	38682993	chr6
DNAH8	+	38683116	38998301	chr6
RN7SL465P	+	38711861	38712159	chr6
RP1-217P22.2	+	38730680	38732470	chr6
SNORA8	-	38790082	38790180	chr6
RP1-207H1.3	-	38890804	38920875	chr6
RP1-207H1.2	+	38895806	38895929	chr6
RP1-202I21.3	-	39007378	39007761	chr6
GLP1R	+	39016573	39055519	chr6
SAYSD1	-	39071839	39082965	chr6
ANKRD18EP	+	39078096	39080728	chr6
KCNK5	-	39156748	39197226	chr6
KCNK17	-	39266776	39282329	chr6
KCNK16	-	39282473	39290744	chr6
KIF6	-	39297765	39693181	chr6
RP1-137F1.3	+	39321522	39321948	chr6
E2F4P1	+	39521586	39522719	chr6
RNU1-54P	-	39588120	39588240	chr6
DAAM2	+	39760141	39872648	chr6
RP11-61I13.3	-	39849579	39867847	chr6
MOCS1	-	39867353	39902290	chr6
RP1-278E11.3	-	39926152	39926572	chr6
TUBBP9	+	39960553	39967972	chr6
RP11-552E20.1	-	40239304	40243976	chr6
TDRG1	+	40302692	40347624	chr6
LINC00951	-	40312082	40313890	chr6
RP11-552E20.4	-	40326482	40337213	chr6
LRFN2	-	40359324	40555204	chr6
RNU6-250P	+	40375591	40375694	chr6
RP11-121P10.1	-	40469369	40470132	chr6
RP3-462C17.1	-	40484074	40491672	chr6
RP11-570K4.1	-	40681149	40683102	chr6
UNC5CL	-	40994771	41006928	chr6
OARD1	-	41001365	41065526	chr6
TSPO2	+	41010292	41012076	chr6
APOBEC2	+	41021042	41032250	chr6
NFYA	+	41040683	41067715	chr6
ADCY10P1	+	41068760	41108571	chr6
TREML1	-	41117079	41122075	chr6
TREM2	-	41126243	41130924	chr6
TREML2	-	41158014	41168932	chr6
TREML3P	-	41176291	41190382	chr6
TREML4	+	41196061	41206620	chr6
RNA5SP207	-	41207257	41207364	chr6
TREML5P	+	41215106	41217387	chr6
TREM1	-	41235663	41254457	chr6
RP1-229K20.5	-	41237612	41237977	chr6
RNU6-643P	-	41270203	41270310	chr6
RP13-235E23.1	-	41275903	41276303	chr6
NCR2	+	41303392	41318625	chr6
AL136967.1	+	41323186	41323246	chr6
RP11-328M4.2	-	41462590	41516359	chr6
RP11-328M4.3	+	41470181	41487590	chr6
FOXP4	+	41514163	41570122	chr6
MIR4641	+	41566460	41566526	chr6
MDFI	+	41604619	41621984	chr6
NPM1P51	+	41634643	41635387	chr6
TFEB	-	41651715	41703997	chr6
AL035588.1	+	41653963	41654127	chr6
RP11-298J23.5	+	41688133	41701770	chr6
PGC	-	41704448	41721847	chr6
RP11-298J23.8	-	41732029	41732198	chr6
FRS3	-	41737913	41754280	chr6
PRICKLE4	+	41748086	41757879	chr6
TOMM6	+	41755399	41757636	chr6
USP49	-	41757633	41863099	chr6
RP11-298J23.9	+	41759147	41759215	chr6
SNORA8	+	41800591	41800731	chr6
RP5-973N23.4	+	41836359	41837469	chr6
MED20	-	41873091	41888877	chr6
Y_RNA	-	41885153	41885264	chr6
BYSL	+	41888925	41900784	chr6
CCND3	-	41902670	42018095	chr6
RNU6-761P	-	41986145	41986252	chr6
RP11-533O20.2	+	41997790	41999120	chr6
TAF8	+	42018250	42055199	chr6
RP11-7K24.3	-	42059975	42061997	chr6
C6orf132	-	42068855	42110357	chr6
GUCA1A	+	42123143	42147794	chr6
RP1-139D8.6	+	42123278	42131156	chr6
GUCA1B	-	42152138	42162654	chr6
MRPS10	-	42174538	42185603	chr6
TRERF1	-	42192668	42419789	chr6
U3	-	42379937	42380134	chr6
RP11-256G5.1	+	42467447	42467760	chr6
snoU13	-	42473237	42473344	chr6
UBR2	+	42531799	42661242	chr6
RNU6-890P	+	42631899	42632006	chr6
PRPH2	-	42664339	42690312	chr6
ATP6V0CP3	+	42694971	42695438	chr6
TBCC	-	42712218	42714558	chr6
GLTSCR1L	+	42749764	42836298	chr6
RPL7L1	+	42847355	42857663	chr6
C6orf226	-	42858004	42858554	chr6
PTCRA	+	42883726	42893573	chr6
CNPY3	+	42896937	42907025	chr6
RP3-475N16.1	+	42908101	42916098	chr6
RPL24P4	-	42924082	42924503	chr6
GNMT	+	42928495	42931618	chr6
PEX6	-	42931607	42946958	chr6
PPP2R5D	+	42952236	42980080	chr6
MEA1	-	42979831	42981706	chr6
KLHDC3	+	42981950	42989036	chr6
RRP36	+	42989382	43001894	chr6
RP1-20C7.6	-	43001634	43002143	chr6
RN7SL403P	-	43003935	43004238	chr6
CUL7	-	43005354	43021683	chr6
KLC4	+	43008514	43042837	chr6
MRPL2	-	43021766	43027544	chr6
RP11-387M24.5	-	43042068	43042477	chr6
PTK7	+	43044005	43129457	chr6
SRF	+	43139036	43149243	chr6
CUL9	+	43149912	43192325	chr6
RP3-330M21.5	-	43181538	43191598	chr6
DNPH1	-	43193366	43197222	chr6
TTBK1	+	43211417	43255997	chr6
SLC22A7	+	43263431	43273276	chr6
CRIP3	-	43267447	43276535	chr6
ZNF318	-	43274871	43337216	chr6
RP11-480N24.3	+	43277968	43278095	chr6
RP11-480N24.4	+	43295871	43296214	chr6
RPS2P28	+	43331216	43331957	chr6
RP11-213N20.1	+	43331957	43332032	chr6
ABCC10	+	43395103	43418168	chr6
DLK2	-	43418089	43424370	chr6
RNU6-1113P	+	43441923	43442030	chr6
TJAP1	+	43445260	43474294	chr6
LRRC73	-	43474706	43478424	chr6
POLR1C	+	43477439	43497323	chr6
YIPF3	-	43479564	43484728	chr6
RP3-337H4.9	-	43486917	43487462	chr6
XPO5	-	43490071	43543812	chr6
RP3-337H4.6	-	43506558	43507440	chr6
SCARNA15	+	43511880	43512007	chr6
RP3-337H4.10	+	43529608	43530156	chr6
POLH	+	43543886	43586701	chr6
RP3-337H4.8	-	43555966	43559099	chr6
GTPBP2	-	43573052	43596899	chr6
MAD2L1BP	+	43597276	43608689	chr6
RSPH9	+	43612782	43640336	chr6
MRPS18A	-	43639039	43655528	chr6
RP1-261G23.4	-	43673685	43674488	chr6
RP1-261G23.5	-	43690522	43705571	chr6
VEGFA	+	43737920	43754224	chr6
RP1-261G23.7	-	43738165	43738353	chr6
RP11-344J7.2	-	43819493	43820070	chr6
RP5-1120P11.1	-	43963459	44042389	chr6
C6orf223	+	43968316	43973695	chr6
AL109615.1	+	43980737	43980838	chr6
RP5-1120P11.3	+	44041649	44045689	chr6
RP5-1120P11.4	-	44056978	44057433	chr6
MRPL14	-	44081193	44095194	chr6
TMEM63B	+	44094650	44123256	chr6
CAPN11	+	44126547	44152139	chr6
RP1-302G2.5	+	44184675	44185973	chr6
SLC29A1	+	44187241	44201888	chr6
HSP90AB1	+	44214823	44221620	chr6
SLC35B2	-	44221832	44225291	chr6
MIR4647	-	44221942	44222022	chr6
NFKBIE	-	44225902	44233500	chr6
TMEM151B	+	44238202	44275243	chr6
RP11-444E17.6	+	44240930	44346694	chr6
TCTE1	-	44246479	44265458	chr6
AARS2	-	44267390	44281063	chr6
SPATS1	+	44310396	44344904	chr6
CDC5L	+	44355261	44418163	chr6
AL133262.1	-	44400471	44400720	chr6
MIR4642	+	44403377	44403459	chr6
RP3-449H6.1	+	44492995	44494491	chr6
SUPT3H	-	44777053	45345690	chr6
NUDT19P4	+	44866447	44867032	chr6
RP11-491H9.3	+	45126606	45127248	chr6
MIR586	-	45165410	45165507	chr6
RUNX2	+	45295893	45632086	chr6
RP1-244F24.1	-	45388815	45389742	chr6
RP1-166H4.2	-	45541082	45544507	chr6
RNU6-515P	+	45613840	45613912	chr6
CLIC5	-	45868044	46048132	chr6
RNU6-754P	+	45986481	45986588	chr6
RP1-8B1.4	-	46064829	46097443	chr6
ENPP4	+	46097729	46114436	chr6
ENPP5	-	46126923	46138708	chr6
ACTG1P9	+	46172465	46175123	chr6
RCAN2	-	46188474	46459709	chr6
RP11-795J1.2	+	46406046	46406356	chr6
RP11-795J1.1	+	46459788	46500495	chr6
CYP39A1	-	46517540	46620523	chr6
SLC25A27	+	46620677	46645930	chr6
RP11-446F17.3	-	46638180	46655902	chr6
TDRD6	+	46655611	46672056	chr6
PLA2G7	-	46671937	46703430	chr6
ANKRD66	+	46714653	46727243	chr6
RP11-268F1.3	-	46726032	46728895	chr6
MEP1A	+	46761126	46807515	chr6
GPR116	-	46820248	46922680	chr6
RP3-365O12.2	+	46871207	46876815	chr6
GPR110	-	46965439	47010099	chr6
TNFRSF21	-	47199267	47277641	chr6
RP11-157D6.1	+	47336678	47336966	chr6
AL355353.1	-	47430586	47430652	chr6
RP11-385F7.1	-	47444978	47445308	chr6
CD2AP	+	47445524	47594999	chr6
Y_RNA	+	47456802	47456906	chr6
RP11-812I20.2	+	47530357	47530754	chr6
GPR111	+	47624171	47665533	chr6
GPR115	+	47653599	47689757	chr6
RN7SKP116	+	47683018	47683337	chr6
RP11-550C4.6	-	47697562	47708477	chr6
RP11-550C4.4	-	47720563	47720976	chr6
OPN5	+	47749717	47800516	chr6
RNU1-105P	+	47791125	47791286	chr6
PTCHD4	-	47845763	48036425	chr6
HNRNPA3P4	-	48116938	48117741	chr6
RBMXP1	-	48181339	48182530	chr6
AL391538.1	+	48817559	48817639	chr6
RP1-57E3.1	-	48919706	48920418	chr6
RP4-724P12.1	-	49045348	49045688	chr6
RP1-142O9.2	+	49241240	49241435	chr6
RNU7-65P	-	49312459	49312521	chr6
EEF1A1P42	-	49325858	49328093	chr6
MUT	-	49398072	49430904	chr6
CENPQ	+	49431090	49460820	chr6
GLYATL3	+	49467670	49494760	chr6
C6orf141	+	49518112	49529620	chr6
CYP2AC1P	-	49533636	49547879	chr6
RHAG	-	49572870	49604552	chr6
CRISP2	-	49660072	49681274	chr6
CRISP3	-	49695096	49712150	chr6
PGK2	-	49753365	49755053	chr6
RP3-417L20.4	+	49785142	49788155	chr6
RP11-719J20.1	-	49791424	49792495	chr6
CRISP1	-	49801969	49844809	chr6
DEFB133	-	49913813	49917157	chr6
DEFB114	-	49927961	49931818	chr6
DEFB113	-	49936389	49937338	chr6
DEFB110	-	49976850	49989694	chr6
DEFB112	-	50011287	50016364	chr6
RP11-397G17.1	+	50061423	50066995	chr6
RP11-524K22.1	+	50481747	50488817	chr6
RP1-28O17.1	-	50555319	50604918	chr6
TFAP2D	+	50681540	50740701	chr6
TFAP2B	+	50786435	50815326	chr6
RPS17P5	-	50824967	50825375	chr6
RP4-753D5.3	-	50865327	50865938	chr6
FTH1P5	-	50880424	50880969	chr6
RP3-437C15.2	-	51250079	51250647	chr6
RP3-437C15.1	-	51274878	51275335	chr6
SNORD66	+	51329487	51329563	chr6
RP11-793K1.1	-	51401952	51402341	chr6
RP3-335N17.2	+	51464520	51487682	chr6
PKHD1	-	51480097	51952423	chr6
RN7SL580P	+	51840457	51840755	chr6
AL590391.1	-	51926412	51926504	chr6
MIR206	+	52009146	52009232	chr6
MIR133BHG	-	52011611	52015917	chr6
MIR133B	+	52013720	52013839	chr6
IL17A	+	52051184	52055436	chr6
IL17F	-	52101478	52109335	chr6
SLC25A20P1	+	52111257	52112160	chr6
MCM3	-	52128806	52149679	chr6
PAQR8	+	52226218	52272575	chr6
EFHC1	+	52285105	52387892	chr6
TRAM2	-	52362199	52441713	chr6
TRAM2-AS1	+	52442104	52448783	chr6
RP1-152L7.9	+	52522170	52522449	chr6
RP1-152L7.5	+	52529945	52533953	chr6
TMEM14A	+	52535906	52551386	chr6
RP1-152L7.3	-	52552727	52568623	chr6
RP1-152L7.8	+	52553458	52553796	chr6
GSTA7P	-	52604387	52609454	chr6
GSTA2	-	52614896	52628367	chr6
RP1-152L7.1	-	52630077	52643145	chr6
GSTA1	-	52656461	52668708	chr6
GSTA6P	-	52670410	52678258	chr6
GSTA5	-	52696452	52710893	chr6
RP11-392A23.4	-	52712707	52735127	chr6
RP11-392A23.5	-	52737811	52744738	chr6
GSTA3	-	52761436	52774483	chr6
RP1-214M20.2	-	52804523	52822319	chr6
GSTA4	-	52842750	52860176	chr6
Y_RNA	-	52843955	52844053	chr6
RN7SK	+	52860417	52860748	chr6
ICK	-	52866076	52926600	chr6
FBXO9	+	52916788	52965671	chr6
RN7SL244P	+	52955758	52956056	chr6
RP11-506E9.3	-	52990444	52990944	chr6
GCM1	-	52991761	53013627	chr6
U3	-	53012605	53012727	chr6
RNU6-464P	-	53018592	53018696	chr6
SOD1P1	-	53061517	53061957	chr6
RP1-34L19.1	-	53071395	53073495	chr6
RNU1-136P	+	53084058	53084222	chr6
HMGB1P20	-	53100418	53101095	chr6
ELOVL5	-	53132195	53213947	chr6
MIR5685	+	53141790	53141869	chr6
RPS16P5	-	53201740	53202144	chr6
RP3-483K16.4	+	53214955	53215503	chr6
RPL31P28	+	53219485	53219863	chr6
RPL31P33	+	53233467	53233807	chr6
RP11-96J19.1	+	53243300	53243659	chr6
RP11-96J19.4	+	53246316	53247001	chr6
RN7SKP256	-	53280091	53280405	chr6
NANOGP3	-	53283249	53283535	chr6
AL591034.1	-	53321244	53321330	chr6
GCLC	-	53362138	53481768	chr6
RP1-27K12.4	+	53367982	53371717	chr6
RP1-27K12.2	-	53426086	53481969	chr6
RP11-345L23.1	+	53493177	53496192	chr6
KLHL31	-	53512698	53530506	chr6
RP11-79N23.1	-	53605546	53611820	chr6
RP13-476E20.1	-	53655672	53659072	chr6
LRRC1	+	53659294	53788919	chr6
RP3-523E19.2	-	53783771	53785586	chr6
MLIP	+	53794779	54131078	chr6
RP11-411K7.1	+	53794819	53862465	chr6
MLIP-IT1	+	53863687	53871950	chr6
ERHP2	-	53881276	53881575	chr6
MLIP-AS1	-	53893974	53944524	chr6
TINAG	+	54172656	54254950	chr6
RP11-124I4.2	-	54230132	54234769	chr6
CLNS1AP1	-	54349966	54350648	chr6
RP3-334F4.2	-	54467284	54467948	chr6
RP3-334F4.1	+	54489402	54490286	chr6
KRASP1	+	54635380	54635932	chr6
RNU6-1023P	+	54651184	54651290	chr6
RP11-524H19.2	-	54704915	54705653	chr6
FAM83B	+	54711568	54806820	chr6
RP3-523K23.2	+	54807964	54809897	chr6
HCRTR2	+	55039049	55147418	chr6
GFRAL	+	55192266	55267291	chr6
HMGCLL1	-	55299166	55444012	chr6
RP11-228O6.2	-	55545439	55545819	chr6
BMP5	-	55618442	55740362	chr6
NPM1P36	-	55804587	55805422	chr6
COL21A1	-	55921387	56258892	chr6
RP11-323I14__A.1	-	56141326	56141594	chr6
RP3-445N2.1	-	56196585	56196915	chr6
RCC2P7	-	56296747	56298011	chr6
AL137008.1	-	56297176	56297240	chr6
DST	-	56322784	56819426	chr6
RP11-472M19.2	+	56708799	56728876	chr6
RPL17P26	+	56735988	56736541	chr6
RNU6-626P	+	56810527	56810635	chr6
BEND6	+	56819772	56892140	chr6
OSTCP6	-	56840403	56840860	chr6
FTH1P15	+	56869317	56869597	chr6
KIAA1586	+	56911346	56920023	chr6
ZNF451	+	56951641	57035105	chr6
RP11-203B9.4	-	56979691	57039034	chr6
BAG2	+	57037123	57054631	chr6
RAB23	-	57053606	57087078	chr6
PRIM2	+	57179602	57513375	chr6
MIR548U	+	57254929	57255010	chr6
RP1-71H19.2	+	57358735	57362565	chr6
GAPDHP41	-	57686968	57687949	chr6
RP11-343D24.2	+	57690894	57691645	chr6
RP11-325M4.2	-	57793931	57794280	chr6
RBBP4P3	-	57841106	57842388	chr6
RP11-452D24.1	-	58028200	58028363	chr6
XXbac-BPGBPG55C20.1	-	58182168	58182746	chr6
XXbac-BPGBPG55C20.3	-	58228886	58229426	chr6
XXbac-BPGBPG55C20.2	-	58234837	58240189	chr6
GUSBP4	-	58246050	58256569	chr6
POM121L14P	+	58263735	58265293	chr6
LINC00680	-	58272351	58287779	chr6
XXbac-BPG55C20.7	+	58291907	58298496	chr6
GAPDHP15	-	58293964	58294939	chr6
RP11-278J20.2	-	58397997	58399412	chr6
RBBP4P4	-	58446018	58447307	chr6
RP11-143A22.1	+	58488887	58513860	chr6
RP1-91N13.1	-	61996402	61996816	chr6
AL356131.1	+	62056769	62056882	chr6
MTRNR2L9	+	62284007	62284534	chr6
RP1-240B8.3	-	62340137	62390954	chr6
KHDRBS2	-	62389864	62996132	chr6
RP11-448N11.1	-	63170844	63171408	chr6
RP11-448N11.2	+	63257331	63258177	chr6
RP11-448N11.3	-	63321057	63321232	chr6
AL589736.1	-	63393082	63393173	chr6
AL121931.1	-	63436739	63436829	chr6
AL590558.1	-	63692988	63693075	chr6
RP11-184C23.1	-	63902976	63903535	chr6
FKBP1C	+	63921350	63922929	chr6
SPTLC1P3	+	63937389	63937648	chr6
RP11-184C23.4	-	63938991	63940015	chr6
LGSN	-	63985855	64029882	chr6
RP3-407E4.2	+	64102126	64102511	chr6
RP3-407E4.3	-	64104911	64107011	chr6
RP3-407E4.4	+	64150670	64153485	chr6
EEF1B2P5	+	64190038	64191781	chr6
PTP4A1	+	64231665	64293492	chr6
RPL7AP34	-	64258612	64259413	chr6
RP5-1148A21.3	-	64280909	64282313	chr6
RP11-164N20.2	-	64322665	64322808	chr6
RPL9P18	-	64325731	64326266	chr6
PHF3	+	64345724	64489229	chr6
EYS	-	64429875	66417118	chr6
RP11-59D5__B.3	+	64507081	64507924	chr6
RP11-59D5__B.2	+	64516728	64532535	chr6
GCNT1P4	+	64567333	64567662	chr6
RP11-349P19.1	+	65087687	65122672	chr6
HNRNPDP2	-	65341097	65341575	chr6
RP11-307F22.2	-	65438729	65443730	chr6
AL109922.1	+	65684285	65684385	chr6
AL109922.2	+	65720259	65720336	chr6
RP11-74E24.2	+	66011353	66014960	chr6
AL109612.1	-	66176896	66176982	chr6
SLC25A51P1	+	66498309	66499180	chr6
ADH5P4	-	66546822	66547947	chr6
NUFIP1P	-	66803323	66804802	chr6
AC002485.1	+	67069317	67069392	chr6
RP11-24C14.1	-	67420134	67420720	chr6
RNU7-66P	-	67438735	67438797	chr6
AL590874.1	-	67859401	67859492	chr6
SNORD65	-	67920300	67920373	chr6
RP11-409K15.1	-	68166238	68167143	chr6
RNA5SP208	-	68177123	68177201	chr6
RNU6-280P	+	68256543	68256647	chr6
Y_RNA	+	68335248	68335357	chr6
RP11-301G19.1	-	68597537	68599231	chr6
RP11-301G19.2	+	68643376	68644574	chr6
RP11-542F9.1	+	68765242	68770394	chr6
RP11-406O16.1	-	68936863	69039791	chr6
AL606923.1	+	69203330	69203418	chr6
RP11-361F19.1	-	69308095	69308285	chr6
RP3-525N10.2	-	69339853	69344919	chr6
BAI3	+	69345258	70099403	chr6
AL158051.1	-	69924621	69924702	chr6
AL358133.1	+	70331264	70331364	chr6
LMBRD1	-	70385693	70507003	chr6
NPM1P37	-	70415178	70416052	chr6
GAPDHP42	+	70455762	70456743	chr6
COL19A1	+	70576462	70919679	chr6
RPL37P15	-	70808281	70808568	chr6
COL9A1	-	70924763	71012786	chr6
RP1-149L1.1	+	70932460	70951859	chr6
RP11-462G2.1	+	71104589	71109120	chr6
RP11-462G2.2	-	71122530	71123653	chr6
FAM135A	+	71122643	71270877	chr6
RNU7-48P	+	71222996	71223059	chr6
C6orf57	+	71276619	71299272	chr6
RP11-134K13.4	+	71306140	71306683	chr6
